HYBAS_ID,h_precip_variability,h_drought_intensity,h_flood_prone_terrain,e_population_density,e_built_up_fraction,e_cropland_fraction,s_slope_mean,s_ecological_fragility,s_water_stress_proxy,a_surface_water_fraction,a_green_blue_space_fraction,a_economic_proxy
4060009880,0.6305541349737023,3,87,1191.041,47,60,0,100.0,188,3,7,21923
4060694350,0.6004020069077631,3,91,1320.489,51,65,8,82.0,191,2,36,21923
4060694190,0.8369931794895136,22,80,624.997,17,58,3,95.0,374,109,100,18821
4060696300,0.5434383403829401,4,83,1634.177,44,50,18,49.0,205,13,77,20477
4060696170,0.5959127498349074,10,87,351.219,13,45,17,73.0,256,18,46,11709
4060713110,0.5047039427664589,-19,56,290.276,12,32,78,40.0,59,28,100,9606
4060713100,0.516073797985159,1,90,500.045,21,61,14,86.0,175,3,35,8640
4060720580,0.5342819845898222,-20,55,423.775,15,34,67,65.0,61,29,100,8640
4060720570,0.49068033419866375,-2,80,660.914,18,49,28,91.0,156,72,96,8640
4060668010,0.6961845790387466,20,78,286.021,7,46,12,91.0,349,52,90,11169
4060667920,0.9069674487082449,35,57,532.086,15,68,6,91.0,499,52,73,12934
4060670370,0.892500112534092,35,41,580.083,13,69,1,97.0,515,4,8,9219
4060670500,0.7544378065373513,25,62,600.157,15,61,8,92.0,405,25,39,8640
4060675920,0.9424599143512042,40,32,724.79,15,70,0,99.0,577,1,2,9786
4060676030,0.7094534663649061,27,54,559.65,13,69,3,99.0,437,25,31,8865
4060750160,0.5267809304434088,-22,79,335.938,16,38,41,77.0,80,108,100,9443
4060750050,0.5434308974564123,-26,44,285.602,10,22,98,62.0,39,12,100,8680
4060689020,0.7054053691817681,25,88,858.789,23,70,0,100.0,412,6,8,8640
4060689150,0.6078593872070903,28,100,342.467,7,75,0,100.0,439,0,3,8640
4060690330,0.6187412651594555,15,55,460.236,11,61,5,99.0,316,28,32,8683
4060690450,0.5370362368517516,-13,68,299.159,8,27,85,84.0,109,14,32,8669
4060773130,0.5034723935564372,-24,72,877.334,32,37,59,73.0,54,43,95,9404
4060773260,0.5036227565093461,-31,88,374.412,22,41,35,90.0,25,212,100,8821
4060783970,0.5223318285353962,-20,94,323.426,16,35,17,90.0,63,356,100,8821
4060783960,0.5210200655718243,-23,57,271.271,12,29,57,76.0,37,129,100,8821
4060791820,0.49253223910926985,18,90,2028.813,42,55,21,98.0,347,56,100,8821
4060791810,0.5211995297645465,-16,39,154.751,5,16,114,56.0,132,23,72,8852
4060769140,0.5635502092256703,-23,47,509.565,16,29,73,76.0,58,33,71,11540
4060769560,0.544097229373228,-22,40,212.636,8,19,110,68.0,85,34,79,11232
4060794670,0.5639276467849466,-32,50,241.914,10,20,82,38.0,73,51,100,8944
4060794820,0.5219210097654103,-13,100,102.794,2,21,1,99.0,114,481,100,8821
4060688870,0.5895388914465158,-7,54,255.396,6,36,68,77.0,127,8,33,9643
4060689010,0.6158467473085919,5,49,302.7,7,47,19,95.0,220,4,10,10160
4060676710,0.8128340915874385,33,34,869.009,19,71,1,99.0,506,0,1,9690
4060676890,0.7322352083360689,31,28,800.217,20,71,1,100.0,483,0,0,9566
4060804910,0.5862867094151696,-23,84,366.039,17,41,18,80.0,130,39,100,8821
4060804900,0.6227110537415962,-23,54,283.326,15,28,60,36.0,158,22,100,8927
4060691530,0.6810793834442908,32,34,534.991,15,66,13,98.0,485,11,14,10191
4060691810,0.643575972925718,14,80,484.551,10,59,2,100.0,304,2,6,10216
4060752890,0.5748341767135716,-15,94,2014.889,59,52,11,100.0,101,49,100,11609
4060752770,0.5830422595860192,-20,28,298.566,7,30,94,71.0,51,7,36,11578
4060817390,0.5587406665732123,-18,55,325.648,17,30,58,48.0,168,6,61,8821
4060817380,0.5342266680352129,-10,51,276.685,12,32,55,61.0,187,5,44,8822
4060752200,0.5805443367599549,-13,100,1913.226,46,55,5,99.0,110,7,100,11609
4060752520,0.5738948002790507,-15,82,355.826,12,54,25,85.0,112,134,100,11609
4060693500,0.5992198378494058,0,41,375.54,9,37,42,79.0,180,11,33,10229
4060693490,0.6192983592998977,9,53,291.238,6,41,33,86.0,260,9,25,10368
4060748320,0.5758109232204328,-6,66,854.626,14,47,30,96.0,127,41,100,11562
4060748330,0.582001969067149,-11,59,351.598,8,33,61,85.0,102,16,47,11568
4060817150,0.6137044551623699,-37,35,308.852,16,21,88,49.0,103,6,57,8922
4060817400,0.6185144482288406,-36,33,171.841,9,17,106,24.0,96,5,81,9010
4060748310,0.5163498739531928,-12,86,463.9,11,50,24,84.0,120,50,100,11491
4060748300,0.5701329830515378,-8,99,4296.72,54,60,7,100.0,117,76,100,11609
4060656300,0.8020897306703326,37,100,3025.552,100,67,3,100.0,548,0,0,10225
4060656150,0.8851667186971172,44,19,1298.83,28,65,11,100.0,619,1,1,10225
4060656290,0.782939466375312,36,28,596.126,20,58,19,100.0,534,2,2,10225
4060656140,0.8193872444636191,40,22,802.043,21,68,18,100.0,576,1,1,10225
4060744670,0.5819396829811715,13,49,334.605,11,38,41,90.0,295,15,51,11609
4060744360,0.5717039592129081,5,56,364.959,8,33,39,90.0,214,14,29,11600
4060859240,0.5050170825625455,-25,48,184.151,11,19,90,33.0,114,4,71,8829
4060859250,0.586636886752282,-16,88,1036.84,54,20,40,57.0,195,0,50,8821
4060816210,0.5978879278411519,-37,42,379.564,17,21,108,52.0,94,3,51,9686
4060816400,0.6007504486661402,-38,40,411.365,20,19,123,41.0,86,2,61,11151
4060861310,0.6003700382912139,-23,23,104.801,5,10,97,15.0,163,1,86,8821
4060861390,0.5434948386329208,-23,29,178.725,7,17,96,50.0,130,9,60,8852
4060654030,0.7868559065115835,36,11,489.463,16,41,72,83.0,536,1,18,10225
4060654220,0.7839746860796245,36,14,644.46,25,35,63,86.0,542,17,34,10225
4060783120,0.49537294193948817,-10,98,633.875,16,53,4,91.0,113,38,87,11374
4060783330,0.4938540041402416,-20,75,483.887,10,42,26,62.0,93,67,100,10241
4060795650,0.4889238730715412,-18,100,295.98,5,58,0,81.0,110,66,100,10166
4060795660,0.49152840681507454,-23,64,547.636,13,26,63,44.0,109,5,67,10130
4060897200,0.5795825027365124,-25,18,254.458,10,12,114,49.0,109,7,58,8929
4060897210,0.5862580980709852,-18,52,1836.884,34,17,74,71.0,165,0,31,8821
4060896760,0.6282159060252369,-25,25,172.145,9,11,93,41.0,121,1,60,8839
4060802670,0.4823415769720342,-18,97,565.148,8,43,3,62.0,110,190,100,10166
4060896610,0.5962236247202791,-22,19,270.216,13,13,89,61.0,157,5,44,8821
4060802680,0.4924317484113385,-24,43,365.883,11,25,106,39.0,85,5,71,10099
4060801390,0.5131495039050443,-20,46,265.68,5,25,78,49.0,68,21,96,10166
4060801220,0.5409097198503652,-20,41,247.355,6,27,107,62.0,49,13,58,10574
4060893870,0.6279773475552475,-26,29,209.931,11,12,86,35.0,162,3,68,9014
4060893880,0.6191752706069175,-24,10,190.055,10,10,93,33.0,147,2,69,9345
4060835350,0.4521754979203282,-25,86,515.524,19,35,70,34.0,75,5,71,10166
4060835360,0.44199373038434747,-28,48,529.361,16,23,60,34.0,65,2,68,9826
4060756940,0.583842308914988,-2,40,394.021,12,42,26,84.0,155,12,36,11609
4060756820,0.6229744925137222,3,31,141.964,3,22,105,86.0,204,18,33,11609
4060704560,0.7131479156460151,28,27,447.283,11,47,39,88.0,454,8,21,10483
4060704410,0.6416754678442369,13,13,285.675,8,24,128,67.0,316,7,41,11532
4060752740,0.6150446510739991,-10,5,184.443,4,16,197,50.0,120,16,67,12126
4060752870,0.5937872088556853,-28,7,148.006,3,15,178,72.0,26,3,32,11634
4060687420,0.6571695235400257,26,14,273.318,8,15,123,62.0,436,31,74,11605
4060687330,0.706214062212496,26,6,150.909,4,12,149,44.0,407,10,69,10824
4060856600,0.4536652103032773,-29,37,215.098,8,16,97,28.0,68,3,75,10121
4060856770,0.4151237437469958,-26,69,364.274,14,24,51,47.0,60,5,60,10166
4060863840,0.4866270017059368,-25,35,302.644,14,15,100,37.0,100,15,78,10156
4060863830,0.47296898432043166,-20,54,401.036,17,26,70,47.0,132,3,59,10165
4060815910,0.5549136846903379,-18,19,201.077,8,17,129,39.0,76,10,72,10106
4060815730,0.5756841477801677,-21,14,157.325,5,19,148,44.0,38,2,58,11949
4060680810,0.6704936840676687,25,3,107.772,5,12,183,40.0,414,0,60,11520
4060681060,0.6585580553819184,4,2,85.805,2,14,212,33.0,243,2,69,11637
4060830030,0.5257261387125192,-23,22,195.874,11,15,136,47.0,84,3,57,10166
4060830110,0.5564947417703476,-12,28,182.139,6,15,125,34.0,104,1,67,7695
4060732820,0.6424641743054333,-21,8,194.026,4,28,185,58.0,63,14,57,17536
4060732480,0.647868373177915,-16,2,118.598,3,21,244,26.0,104,1,75,18020
4060678630,0.6889816549466279,25,1,116.104,5,18,218,60.0,406,0,40,11381
4060678440,0.7007803332225071,19,0,110.791,3,12,213,43.0,323,0,57,11345
4060679920,0.723630804898098,8,1,151.465,4,21,202,51.0,274,5,54,11340
4060679720,0.7311826857807822,13,1,66.911,1,10,230,13.0,276,0,87,11287
4060736820,0.6170813042541315,-18,21,339.661,8,48,134,76.0,63,34,60,18290
4060736830,0.6835334091579804,-14,17,287.666,9,41,164,64.0,98,5,41,18318
4060857710,0.5371060278344524,-14,37,249.532,4,12,147,14.0,123,0,86,10166
4060857900,0.5247559572746769,-24,17,97.999,2,13,147,23.0,73,2,79,10141
4060884440,0.5541290278551769,-24,22,188.009,9,14,125,36.0,117,4,68,10110
4060884430,0.5393458769875761,-26,36,175.437,7,17,119,40.0,95,2,62,9030
4060855550,0.5476414169995096,-10,22,196.528,9,12,87,29.0,140,0,71,10166
4060855410,0.5637639601661837,-7,34,187.206,6,13,118,45.0,132,1,56,7185
4060857280,0.5934110662474469,-10,11,148.159,3,10,139,48.0,116,0,52,5716
4060857570,0.5524523195864726,-16,15,111.652,3,7,112,27.0,107,1,74,9486
4060688510,0.7443834076509335,-16,1,80.862,2,27,248,13.0,110,1,88,15255
4060688400,0.7781440734331048,8,3,142.295,2,14,179,36.0,249,2,66,11316
4060774570,0.6092052260338162,-18,26,194.088,6,32,153,52.0,59,3,52,18111
4060774560,0.6271629111027001,-7,63,480.621,12,47,81,75.0,120,21,48,18318
4060789820,0.6015779433233956,-24,11,117.274,2,24,166,61.0,33,0,39,12864
4060789960,0.622642532167357,-14,25,117.55,1,22,167,73.0,67,0,27,7462
4060779600,0.6422773243607277,-2,69,1574.198,39,55,85,72.0,151,1,32,18318
4060779690,0.6390376890292317,0,47,2330.14,41,53,80,72.0,168,1,32,18318
4060671040,0.8254646881932669,13,1,117.854,4,14,182,20.0,268,0,80,11339
4060670890,0.7986183342871526,5,1,37.063,1,10,215,3.0,193,1,98,11287
4060788460,0.639759550790985,-7,35,243.108,7,35,155,65.0,121,0,35,13656
4060788450,0.6548800160802298,-2,53,522.644,16,48,82,84.0,155,2,20,18076
4060801670,0.6067130290158959,-10,11,169.483,3,21,144,54.0,96,0,46,6787
4060801680,0.5986880133847156,-29,9,130.911,3,15,168,55.0,16,1,46,14776
4060765990,0.8471022808198009,9,28,339.521,8,40,134,67.0,252,4,37,18303
4060765830,0.650724983350409,3,100,471.688,29,47,47,100.0,191,0,18,18318
4060764560,0.7284000328853151,-7,21,314.599,10,34,147,60.0,153,2,43,17827
4060764320,0.7939922088231104,5,31,355.654,10,43,105,67.0,234,3,37,18025
4060804580,0.6899945985749506,-2,15,222.183,4,33,158,62.0,152,0,38,9564
4060804380,0.6763156071218477,-2,83,632.979,22,56,34,99.0,152,8,14,18318
4060801370,0.8660604975142322,3,54,670.018,19,65,50,95.0,213,4,10,18318
4060801560,0.7209174961155769,0,32,361.105,10,49,95,82.0,173,1,20,18178
4060806110,0.7789781889800558,-3,43,3400.921,43,67,76,100.0,164,0,5,18318
4060806290,0.7589919783324923,7,19,297.001,5,50,141,82.0,235,1,19,16538
4060805770,0.8739991645928903,-8,34,245.833,6,39,112,85.0,178,1,16,18317
4060805930,0.7807107048503928,-1,53,1235.391,28,76,91,100.0,177,1,1,18318
4060853730,0.684858619623671,-11,15,520.67,10,21,109,77.0,100,1,24,5509
4060853610,0.6839199301427595,-6,17,321.31,9,36,99,41.0,129,7,69,5509
4060810520,0.8409640127450637,13,3,220.122,4,25,159,59.0,295,3,44,6800
4060810390,0.8664070927993399,1,5,122.081,2,22,217,54.0,244,1,47,14872
