HYBAS_ID,hydrobasins_attribute__h_flood_prone_terrain,hydrobasins_upstream_area_km2,hydrobasins_local_area_km2,hydrobasins_upstream_to_local_area_ratio,hydrobasins_dist_main,hydrobasins_dist_sink,hydrobasins_order,hydrobasins_pfaf_id,hydrobasins_main_bas,hydrobasins_next_down,h_precip_variability,h_drought_intensity,h_flood_prone_terrain,e_population_density,e_built_up_fraction,e_cropland_fraction,s_slope_mean,s_ecological_fragility,s_water_stress_proxy,a_surface_water_fraction,a_green_blue_space_fraction,a_economic_proxy
4060009880,14.46219465460202,1909198.6,4424.8,431.4768125113,0.0,0.0,1,434100,4060009880,0,0.6305541349737023,3,87,1191.041,47,60,0,100.0,188,3,7,21923
4060051560,9.127795369506067,9206.7,9206.7,1.0,3349.5,0.0,2,434990,4060009880,4060872820,1.219638740858192,59,13,0.015,0,0,41,100.0,302,74,88,9989
4060625430,10.012606496445716,22304.9,22304.9,1.0,5308.4,5308.4,2,434996,4060009880,4060818780,1.1734104763132145,55,12,0.096,0,0,44,100.0,300,16,20,9989
4060625570,11.32279953311203,82684.5,34612.5,2.388862405200433,5308.4,5308.4,1,434997,4060009880,4060818780,1.141720648711841,42,4,0.283,0,0,56,100.0,273,1,4,9989
4060642530,9.863009248947378,19205.6,19205.6,1.0,5576.8,5576.8,1,434999,4060009880,4060625570,1.2619509316015955,52,17,0.027,0,0,48,100.0,295,14,17,9989
4060642770,10.342339079661926,31017.5,31017.5,1.0,5576.8,5576.8,2,434998,4060009880,4060625570,1.1731763823053396,35,13,0.096,0,0,58,100.0,238,5,13,9926
4060654030,8.56746796728986,5256.8,5256.8,1.0,1042.9,1042.9,2,434299,4060009880,4060656290,0.7868559065115835,36,11,489.463,16,41,72,83.0,536,1,18,10225
4060654220,8.18202810010823,3575.1,3575.0,1.000027972027972,1042.9,1042.9,3,434298,4060009880,4060656290,0.7839746860796245,36,14,644.46,25,35,63,86.0,542,17,34,10225
4060656140,8.84554684707706,6942.4,6942.4,1.0,904.3,904.3,3,434296,4060009880,4060656300,0.8193872444636191,40,22,802.043,21,68,18,100.0,576,1,1,10225
4060656150,8.712727079682328,6078.8,6078.6,1.0000329023130323,903.9,903.9,3,434294,4060009880,4060676710,0.8851667186971172,44,19,1298.83,28,65,11,100.0,619,1,1,10225
4060656290,9.450584865103089,12714.6,3883.3,3.274174027244869,904.1,904.1,2,434297,4060009880,4060656300,0.782939466375312,36,28,596.126,20,58,19,100.0,534,2,2,10225
4060656300,9.886254919972586,19657.3,0.5,39314.6,903.7,903.7,2,434295,4060009880,4060676710,0.8020897306703326,37,100,3025.552,100,67,3,100.0,548,0,0,10225
4060667920,9.19571392511402,9853.8,9853.7,1.0000101484721473,285.1,285.1,3,434220,4060009880,4060694190,0.9069674487082448,35,57,532.086,15,68,6,91.0,499,52,73,12934
4060668010,11.882125540926676,144656.7,6108.1,23.68276550809581,285.1,285.1,2,434230,4060009880,4060694190,0.6961845790387466,20,78,286.021,7,46,12,91.0,349,52,90,11169
4060670370,9.483964087176924,13146.2,13146.2,1.0,397.4,397.4,3,434240,4060009880,4060668010,0.892500112534092,35,41,580.083,13,69,1,97.0,515,4,8,9219
4060670500,11.739281450886716,125401.2,3124.5,40.13480556889103,397.4,397.4,2,434250,4060009880,4060668010,0.7544378065373513,25,62,600.157,15,61,8,92.0,405,25,39,8640
4060670890,8.268552328828498,3898.3,3898.3,1.0,2225.8,2225.8,2,434699,4060009880,4060688400,0.7986183342871526,5,1,37.063,1,10,215,3.0,193,1,98,11287
4060671040,8.436872111667457,4613.1,4612.8,1.0000650364203956,2225.6,2225.6,3,434698,4060009880,4060688400,0.8254646881932669,13,1,117.854,4,14,182,20.0,268,0,80,11339
4060675920,9.633507864197352,15266.9,15266.6,1.000019650740833,487.9,487.9,3,434260,4060009880,4060670500,0.9424599143512042,40,32,724.79,15,70,0,99.0,577,1,2,9786
4060676030,11.580687846381354,107010.1,16629.1,6.435110739607075,488.1,488.1,2,434270,4060009880,4060670500,0.7094534663649061,27,54,559.65,13,69,3,99.0,437,25,31,8865
4060676710,10.375617045531436,32067.1,6330.7,5.06533242769362,738.9,738.9,2,434293,4060009880,4060689020,0.8128340915874385,33,34,869.009,19,71,1,99.0,506,0,1,9690
4060676890,8.31115254800169,4068.0,4068.0,1.0,739.1,739.1,3,434292,4060009880,4060689020,0.7322352083360689,31,28,800.217,20,71,1,100.0,483,0,0,9566
4060678440,8.639800128882534,5651.2,5651.2,1.0,1720.5,1720.5,3,434692,4060009880,4060680810,0.7007803332225071,19,0,110.791,3,12,213,43.0,323,0,57,11345
4060678630,10.85061006248195,51564.6,2716.5,18.98199889563777,1720.4,1720.4,2,434693,4060009880,4060680810,0.6889816549466279,25,1,116.104,5,18,218,60.0,406,0,40,11381
4060679720,8.754255426867653,6336.6,6336.6,1.0,1806.3,1806.3,3,434694,4060009880,4060678630,0.7311826857807822,13,1,66.911,1,10,230,13.0,276,0,87,11287
4060679920,10.65755342931545,42511.5,10785.4,3.94157843009995,1806.3,1806.3,2,434695,4060009880,4060678630,0.723630804898098,8,1,151.465,4,21,202,51.0,274,5,54,11340
4060680220,9.737680871359816,16943.2,16943.2,1.0,2988.5,2988.5,2,434949,4060009880,4060693040,0.8311870664967418,24,2,54.593,1,8,247,34.0,330,0,66,13880
4060680470,9.028014815174227,8332.3,8331.6,1.0000840174756347,2988.7,2988.7,3,434948,4060009880,4060693040,0.8028932753509617,17,0,25.181,0,4,281,23.0,288,0,77,16391
4060680810,11.025560801313048,61423.3,4207.8,14.597485621940208,1633.0,1633.0,2,434691,4060009880,4060687420,0.6704936840676687,25,3,107.772,5,12,183,40.0,414,0,60,11520
4060681060,9.431762442392053,12477.5,12477.5,1.0,1633.0,1633.0,3,434680,4060009880,4060687420,0.6585580553819184,4,2,85.805,2,14,212,33.0,243,2,69,11637
4060687330,9.689669136681168,16148.9,16148.9,1.0,1508.3,1508.3,3,434660,4060009880,4060704410,0.706214062212496,26,6,150.909,4,12,149,44.0,407,10,69,10824
4060687420,11.270266470118637,78452.9,4553.1,17.230656036546527,1508.2,1508.2,2,434670,4060009880,4060704410,0.6571695235400257,26,14,273.318,8,15,123,62.0,436,31,74,11605
4060688400,10.19706347209784,26823.3,18312.4,1.4647615823158078,1930.9,1930.9,2,434697,4060009880,4060679920,0.7781440734331048,8,3,142.295,2,14,179,36.0,249,2,66,11316
4060688510,8.497704514832375,4902.5,4902.5,1.0,1930.7,1930.7,3,434696,4060009880,4060679920,0.7443834076509335,-16,1,80.862,2,27,248,13.0,110,1,88,15255
4060688870,8.821983086968183,6780.7,6780.5,1.0000294963498266,725.6,725.6,4,434284,4060009880,4060690330,0.5895388914465158,-7,54,255.396,6,36,68,77.0,127,8,33,9643
4060689010,10.359255965153537,31546.7,2409.2,13.09426365598539,725.9,725.9,3,434285,4060009880,4060690330,0.6158467473085919,5,49,302.7,7,47,19,95.0,220,4,10,10160
4060689020,10.549042476149204,38139.9,2005.4,19.0185997805924,615.0,615.0,2,434291,4060009880,4060676030,0.7054053691817681,25,88,858.789,23,70,0,100.0,412,6,8,8640
4060689150,10.863643962223517,52241.1,68.3,764.8770131771596,615.1,615.1,3,434281,4060009880,4060676030,0.6078593872070903,28,100,342.467,7,75,0,100.0,439,0,3,8640
4060690330,10.724447304389637,45452.6,7125.2,6.379133217313198,620.3,620.3,3,434283,4060009880,4060689150,0.6187412651594555,15,55,460.236,11,61,5,99.0,316,28,32,8683
4060690450,8.813051745152153,6720.4,6720.4,1.0,620.3,620.3,4,434282,4060009880,4060689150,0.5370362368517516,-13,68,299.159,8,27,85,84.0,109,14,32,8669
4060691530,9.482951952895224,13132.9,13132.7,1.000015229160797,769.5,769.5,4,434286,4060009880,4060689010,0.6810793834442908,32,34,534.991,15,66,13,98.0,485,11,14,10191
4060691810,9.680700187779951,16004.7,566.8,28.236944248412144,769.6,769.6,3,434287,4060009880,4060689010,0.643575972925718,14,80,484.551,10,59,2,100.0,304,2,6,10216
4060693040,10.3817135353934,32263.2,6987.9,4.617009401966256,2882.3,2882.3,2,434947,4060009880,4060764320,0.9229350530692232,25,2,68.469,2,15,231,10.0,388,10,100,16594
4060693050,10.24886289576638,28249.4,28249.4,1.0,2882.1,2882.1,3,434946,4060009880,4060764320,0.8423577914599505,28,1,102.244,2,23,188,45.0,389,0,55,12955
4060693490,9.480314072647031,13098.3,13098.3,1.0,820.0,820.0,3,434289,4060009880,4060691810,0.6192983592998977,9,53,291.238,6,41,33,86.0,260,9,25,10368
4060693500,7.758162585740666,2339.6,2339.6,1.0,819.8,819.8,4,434288,4060009880,4060691810,0.5992198378494058,0,41,375.54,9,37,42,79.0,180,11,33,10229
4060694190,12.055717088439142,172079.4,17568.4,9.794824799071058,67.3,67.3,2,434210,4060009880,4060009880,0.8369931794895136,22,80,624.997,17,58,3,95.0,374,109,100,18821
4060694350,14.365190173803436,1732696.8,2102.1,824.2694448408735,67.1,67.1,1,434301,4060009880,4060009880,0.6004020069077631,3,91,1320.489,51,65,8,82.0,191,2,36,21923
4060696170,9.004508603280568,8138.7,8138.7,1.0,139.3,139.3,2,434302,4060009880,4060694350,0.5959127498349074,10,87,351.219,13,45,17,73.0,256,18,46,11709
4060696300,14.359265510950818,1722461.5,4966.4,346.8229502255155,139.1,139.1,1,434303,4060009880,4060694350,0.5434383403829401,4,83,1634.177,44,50,18,49.0,205,13,77,20477
4060704410,11.574242552859037,106322.6,11720.5,9.071507188259886,1381.9,1381.9,2,434650,4060009880,4060744670,0.6416754678442369,13,13,285.675,8,24,128,67.0,316,7,41,11532
4060704560,10.088002535344804,24051.7,24051.3,1.0000166311176528,1381.7,1381.7,3,434640,4060009880,4060744670,0.7131479156460151,28,27,447.283,11,47,39,88.0,454,8,21,10483
4060709860,10.051980830831926,23200.7,23200.7,1.0,3370.0,3370.0,3,434968,4060009880,4060738860,0.9278904310321668,7,0,6.939,0,1,202,70.0,194,0,30,15825
4060710060,9.681986401743488,16025.3,16025.3,1.0,3370.0,3370.0,2,434969,4060009880,4060738860,0.973400714498216,7,0,5.647,0,1,204,74.0,185,0,26,16930
4060713100,14.345358857884792,1698673.6,985.0,1724.541725888325,245.9,245.9,1,434305,4060009880,4060696300,0.516073797985159,1,90,500.045,21,61,14,86.0,175,3,35,8640
4060713110,9.843238485190284,18829.6,18828.6,1.000053110693307,245.8,245.8,2,434304,4060009880,4060696300,0.5047039427664589,-19,56,290.276,12,32,78,40.0,59,28,100,9606
4060720570,9.431698330067237,12476.7,12476.7,1.0,277.8,277.8,2,434306,4060009880,4060713100,0.4906803341986637,-2,80,660.914,18,49,28,91.0,156,72,96,8640
4060720580,14.337404778180437,1685215.8,14981.5,112.48645329239396,277.7,277.7,1,434307,4060009880,4060713100,0.5342819845898222,-20,55,423.775,15,34,67,65.0,61,29,100,8640
